name,note,8v,#/b,clef,score_image,keyboard_full_image,keyboard_octave_image,sound_file,piano_key#,order,tags
G3 Bass,G,3,,bass,"<img src=""piano/images/score/065-35-3-bass-G3-score.png""/>","<img src=""piano/images/keyboard/35-3-G3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G-keyboard-octave.png""/>",[sound:piano/audio/065-35-3-bass-G3.mp3],35,1,
G3# Bass,G,3,#,bass,"<img src=""piano/images/score/066-36-3-bass-G3#-score.png""/>","<img src=""piano/images/keyboard/36-3-G3#-A3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/066-36-3-bass-G3#.mp3],36,1,
A3b Bass,A,3,b,bass,"<img src=""piano/images/score/070-36-3-bass-A3b-score.png""/>","<img src=""piano/images/keyboard/36-3-G3#-A3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/070-36-3-bass-A3b.mp3],36,1,
A3 Bass,A,3,,bass,"<img src=""piano/images/score/068-37-3-bass-A3-score.png""/>","<img src=""piano/images/keyboard/37-3-A3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A-keyboard-octave.png""/>",[sound:piano/audio/068-37-3-bass-A3.mp3],37,1,
A3# Bass,A,3,#,bass,"<img src=""piano/images/score/069-38-3-bass-A3#-score.png""/>","<img src=""piano/images/keyboard/38-3-A3#-B3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/069-38-3-bass-A3#.mp3],38,1,
B3b Bass,B,3,b,bass,"<img src=""piano/images/score/072-38-3-bass-B3b-score.png""/>","<img src=""piano/images/keyboard/38-3-A3#-B3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/072-38-3-bass-B3b.mp3],38,1,
B3 Bass,B,3,,bass,"<img src=""piano/images/score/071-39-3-bass-B3-score.png""/>","<img src=""piano/images/keyboard/39-3-B3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/B-keyboard-octave.png""/>",[sound:piano/audio/071-39-3-bass-B3.mp3],39,1,
C4 Treble,C,4,,treble,"<img src=""piano/images/score/073-40-4-treble-C4-score.png""/>","<img src=""piano/images/keyboard/40-4-C4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/073-40-4-treble-C4.mp3],40,0,
C4# Treble,C,4,#,treble,"<img src=""piano/images/score/074-41-4-treble-C4#-score.png""/>","<img src=""piano/images/keyboard/41-4-C4#-D4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/074-41-4-treble-C4#.mp3],41,0,
D4b Treble,D,4,b,treble,"<img src=""piano/images/score/077-41-4-treble-D4b-score.png""/>","<img src=""piano/images/keyboard/41-4-C4#-D4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/077-41-4-treble-D4b.mp3],41,0,
D4 Treble,D,4,,treble,"<img src=""piano/images/score/075-42-4-treble-D4-score.png""/>","<img src=""piano/images/keyboard/42-4-D4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D-keyboard-octave.png""/>",[sound:piano/audio/075-42-4-treble-D4.mp3],42,0,
D4# Treble,D,4,#,treble,"<img src=""piano/images/score/076-43-4-treble-D4#-score.png""/>","<img src=""piano/images/keyboard/43-4-D4#-E4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/076-43-4-treble-D4#.mp3],43,0,
E4b Treble,E,4,b,treble,"<img src=""piano/images/score/079-43-4-treble-E4b-score.png""/>","<img src=""piano/images/keyboard/43-4-D4#-E4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/079-43-4-treble-E4b.mp3],43,0,
E4 Treble,E,4,,treble,"<img src=""piano/images/score/078-44-4-treble-E4-score.png""/>","<img src=""piano/images/keyboard/44-4-E4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/E-keyboard-octave.png""/>",[sound:piano/audio/078-44-4-treble-E4.mp3],44,0,
F4 Treble,F,4,,treble,"<img src=""piano/images/score/080-45-4-treble-F4-score.png""/>","<img src=""piano/images/keyboard/45-4-F4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F-keyboard-octave.png""/>",[sound:piano/audio/080-45-4-treble-F4.mp3],45,0,
F4# Treble,F,4,#,treble,"<img src=""piano/images/score/081-46-4-treble-F4#-score.png""/>","<img src=""piano/images/keyboard/46-4-F4#-G4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/081-46-4-treble-F4#.mp3],46,0,
G4b Treble,G,4,b,treble,"<img src=""piano/images/score/084-46-4-treble-G4b-score.png""/>","<img src=""piano/images/keyboard/46-4-F4#-G4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/084-46-4-treble-G4b.mp3],46,0,
G4 Treble,G,4,,treble,"<img src=""piano/images/score/082-47-4-treble-G4-score.png""/>","<img src=""piano/images/keyboard/47-4-G4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G-keyboard-octave.png""/>",[sound:piano/audio/082-47-4-treble-G4.mp3],47,0,
G4# Treble,G,4,#,treble,"<img src=""piano/images/score/083-48-4-treble-G4#-score.png""/>","<img src=""piano/images/keyboard/48-4-G4#-A4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/083-48-4-treble-G4#.mp3],48,0,
A4b Treble,A,4,b,treble,"<img src=""piano/images/score/087-48-4-treble-A4b-score.png""/>","<img src=""piano/images/keyboard/48-4-G4#-A4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/087-48-4-treble-A4b.mp3],48,0,
A4 Treble,A,4,,treble,"<img src=""piano/images/score/085-49-4-treble-A4-score.png""/>","<img src=""piano/images/keyboard/49-4-A4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A-keyboard-octave.png""/>",[sound:piano/audio/085-49-4-treble-A4.mp3],49,0,
A4# Treble,A,4,#,treble,"<img src=""piano/images/score/086-50-4-treble-A4#-score.png""/>","<img src=""piano/images/keyboard/50-4-A4#-B4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/086-50-4-treble-A4#.mp3],50,0,
B4b Treble,B,4,b,treble,"<img src=""piano/images/score/089-50-4-treble-B4b-score.png""/>","<img src=""piano/images/keyboard/50-4-A4#-B4b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/089-50-4-treble-B4b.mp3],50,0,
B4 Treble,B,4,,treble,"<img src=""piano/images/score/088-51-4-treble-B4-score.png""/>","<img src=""piano/images/keyboard/51-4-B4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/B-keyboard-octave.png""/>",[sound:piano/audio/088-51-4-treble-B4.mp3],51,0,
C4 Bass,C,4,,bass,"<img src=""piano/images/score/090-40-4-bass-C4-score.png""/>","<img src=""piano/images/keyboard/40-4-C4-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/090-40-4-bass-C4.mp3],40,1,
