name,octave,clef,treble_note,treble_octaves,treble_octaves_hidden,bass_note,bass_octaves,bass_octaves_hidden,order,filename
F4#,4,treble,r4 fis'4,r4 fis4 fis'4 fis''4,r4 \hideNotes fis4 fis'4 fis''4,r2,r1,r1,0,081-46-4-treble-F4#
G4b,4,treble,r4 ges'4,r4 ges4 ges'4 ges''4,r4 \hideNotes ges4 ges'4 ges''4,r2,r1,r1,0,084-46-4-treble-G4b
G4,4,treble,r4 g'4,r4 g4 g'4 g''4,r4 \hideNotes g4 g'4 g''4,r2,r1,r1,0,082-47-4-treble-G4
G4#,4,treble,r4 gis'4,r4 gis4 gis'4 gis''4,r4 \hideNotes gis4 gis'4 gis''4,r2,r1,r1,0,083-48-4-treble-G4#
A4b,4,treble,r4 aes'4,r4 aes4 aes'4 aes''4,r4 \hideNotes aes4 aes'4 aes''4,r2,r1,r1,0,087-48-4-treble-A4b
A4,4,treble,r4 a'4,r4 a4 a'4 a''4,r4 \hideNotes a4 a'4 a''4,r2,r1,r1,0,085-49-4-treble-A4
A4#,4,treble,r4 ais'4,r4 ais4 ais'4 ais''4,r4 \hideNotes ais4 ais'4 ais''4,r2,r1,r1,0,086-50-4-treble-A4#
B4b,4,treble,r4 bes'4,r4 bes4 bes'4 bes''4,r4 \hideNotes bes4 bes'4 bes''4,r2,r1,r1,0,089-50-4-treble-B4b
B4,4,treble,r4 b'4,r4 b4 b'4 b''4,r4 \hideNotes b4 b'4 b''4,r2,r1,r1,0,088-51-4-treble-B4
C4,4,bass,r2,r1,r1,r4 c'4,r4 c4 c'4 c''4,r4 \hideNotes c4 c'4 c''4,1,090-40-4-bass-C4
C4#,4,bass,r2,r1,r1,r4 cis'4,r4 cis4 cis'4 cis''4,r4 \hideNotes cis4 cis'4 cis''4,1,091-41-4-bass-C4#
D4b,4,bass,r2,r1,r1,r4 des'4,r4 des4 des'4 des''4,r4 \hideNotes des4 des'4 des''4,1,094-41-4-bass-D4b
D4,4,bass,r2,r1,r1,r4 d'4,r4 d4 d'4 d''4,r4 \hideNotes d4 d'4 d''4,1,092-42-4-bass-D4
D4#,4,bass,r2,r1,r1,r4 dis'4,r4 dis4 dis'4 dis''4,r4 \hideNotes dis4 dis'4 dis''4,1,093-43-4-bass-D4#
E4b,4,bass,r2,r1,r1,r4 ees'4,r4 ees4 ees'4 ees''4,r4 \hideNotes ees4 ees'4 ees''4,1,096-43-4-bass-E4b
E4,4,bass,r2,r1,r1,r4 e'4,r4 e4 e'4 e''4,r4 \hideNotes e4 e'4 e''4,1,095-44-4-bass-E4
F4,4,bass,r2,r1,r1,r4 f'4,r4 f4 f'4 f''4,r4 \hideNotes f4 f'4 f''4,1,097-45-4-bass-F4
F4#,4,bass,r2,r1,r1,r4 fis'4,r4 fis4 fis'4 fis''4,r4 \hideNotes fis4 fis'4 fis''4,1,098-46-4-bass-F4#
G4b,4,bass,r2,r1,r1,r4 ges'4,r4 ges4 ges'4 ges''4,r4 \hideNotes ges4 ges'4 ges''4,1,101-46-4-bass-G4b
G4,4,bass,r2,r1,r1,r4 g'4,r4 g4 g'4 g''4,r4 \hideNotes g4 g'4 g''4,1,099-47-4-bass-G4
G4#,4,bass,r2,r1,r1,r4 gis'4,r4 gis4 gis'4 gis''4,r4 \hideNotes gis4 gis'4 gis''4,1,100-48-4-bass-G4#
A4b,4,bass,r2,r1,r1,r4 aes'4,r4 aes4 aes'4 aes''4,r4 \hideNotes aes4 aes'4 aes''4,1,104-48-4-bass-A4b
A4,4,bass,r2,r1,r1,r4 a'4,r4 a4 a'4 a''4,r4 \hideNotes a4 a'4 a''4,1,102-49-4-bass-A4
A4#,4,bass,r2,r1,r1,r4 ais'4,r4 ais4 ais'4 ais''4,r4 \hideNotes ais4 ais'4 ais''4,1,103-50-4-bass-A4#
B4b,4,bass,r2,r1,r1,r4 bes'4,r4 bes4 bes'4 bes''4,r4 \hideNotes bes4 bes'4 bes''4,1,106-50-4-bass-B4b
B4,4,bass,r2,r1,r1,r4 b'4,r4 b4 b'4 b''4,r4 \hideNotes b4 b'4 b''4,1,105-51-4-bass-B4
C5,5,bass,r2,r1,r1,r4 c''4,r4 c'4 c''4 c'''4,r4 \hideNotes c'4 c''4 c'''4,1,107-52-5-bass-C5
